target_id,full_names
72586,"75, Brazil Street - Steve Forest, Paul Simon Remix - Nicola Fasano, Pat-Rich"
72592,"Elektro - Nicola Fasano Remix - Mister Gee, Mr. Gee, Outwork"
72598,"Missing - Nicola Fasano, Paula B."
72606,"King of My Castle - Nicola Fasano, Steve Forest Remix - Wamdue Project"
72609,"Feel My Body - Simon De Jano Remix) - Frank'O Moiraghi, Nicola Fasano, Simon De Jano"
72621,"Levitating - Amanda Yang, Kløn, Renzyx"
72626,Prey - Renzyx
72627,"Baile de Favela - MC Beibes, Mastiksoul, Mc Vini"
72628,"Debandada - Mastiksoul, pety"
72629,"Mala Mala - DYSTINCT, Mastiksoul"
72630,"Baixou - Eros & Wezsdy, Mary J, Mastiksoul"
72632,"Pancada - Eros, Eros & Wezsdy, Mastiksoul"
72635,"Nobody Else but You - Mastiksoul Remix - Trey Songz"
72637,"Livre - Mariza, Mastiksoul"
72643,Jungle Terror - Mastiksoul
72649,"Naked in The Streets - Renato S Remix - Francci, Mastiksoul"
72658,"Groove - Mastiksoul, The Groove"
72659,"Good For You - Danny Shah, Mastiksoul, Shaggy"
72662,"Good for You - Danny Shah, Mastiksoul, Shaggy"
72667,Dança do Campeão - Mastiksoul
72668,"Hands Up - D-Mol, Mastiksoul"
72677,"Dança do Bumbum - Afro Bros, Mastiksoul"
72681,"Forever - Mastiksoul, Silyvi"
72687,"Bang It All - Stefano Noferini Remix - Akon, Dada, Mastiksoul, Paul G"
72689,"Bang It All - David Jones Remix - Akon, Dada, Mastiksoul, Paul G"
72692,"King Of Drums - David Anthony, Genairo Nvilla, Mastiksoul"
72697,Mama Coça - Mastiksoul
72698,Jump Around - Mastiksoul
72709,Capotagem - Mastiksoul
72724,"Gasosa - Jahriki, Laton Cordeiro, Mastiksoul, The Shynerz"
72726,Jacobino - Mastiksoul
72727,"Tudo Bem - Laton, Mastiksoul"
72728,"Não Volto Mais - Anselmo Ralph, Los Manitos, Mastiksoul"
72729,"Tudo Nosso - Nada Deles - Los Manitos, Mastiksoul"
72730,"Estraga - D8, Los Manitos, Mastiksoul"
72731,"Tou na Moda - Los Manitos, Mastiksoul"
72732,"Maravilhosa - MC Lipi, Mastiksoul, Mc Lipi"
72733,"Gasosa - Laton Cordeiro, Mastiksoul"
72799,Work - Dante
72800,Eyes on Fire - Dante
72801,"Your Soul - Dante, Nick Havsen"
72806,"VIP - Dante, Nick Havsen"
72807,My Body - Dante
72808,Lust - Dante
72811,You Love Me - Dante
72879,"Follow U - Fraxy, Future Class"
72880,"Midnight - Future Class, JustLuke, NOËP"
72881,"What A Girl - Fafaq, Future Class"
72884,"Chemical Emotion - Future Class Remix - Principe"
72885,"Good Dope - Gorillowz Remix - Future Class, Makloud"
72886,"Good Dope - Douth! Remix - Future Class, Makloud"
72887,"Good Dope - Vicentini Remix - Future Class, Makloud"
72888,"Return To Forever - Future Class, Sielo, jeonghyeon"
72891,"Drive Me Loco - Future Class, Pump Gorilla"
72892,"Mario High - Future Class, RIVAS, Rivas (BR)"
72900,Every Second - Future Class
72902,"Out There - Future Class Remix - Pontifexx"
72903,"Revenge - Future Class Remix - Manimal"
72904,"Do You Like - Future Class, Lazy Bear"
72905,Dirty - Future Class
72911,"Back Against The Wall - aiai"
72913,"Pandora - KVSH, Malifoo Remix - DJ Matt D, MC GP, Menor MC, Vulgo FK"
72914,"Promise of the West - KVSH Remix - Joris de Man"
72916,"Colirio - Fábio Della, KVSH, The Fish House"
72917,"Way - BIG Naughty, CHOILB, GIRIBOY, KVSH, Kid Milli, Kim Seungmin, OLNL, THAMA"
72919,"SURREAL - KVSH, PEDRO SAMPAIO"
72920,"Descobridor dos Sete Mares Remix - JØRD, KVSH"
72922,"NINGUÉM ME ENSINOU - KVSH Remix - Lagum"
72924,"Amor de Fim de Noite - KVSH Remix - Orochi"
72925,"Um Lugar - Sest"
72926,"Smoke Me - CRÜPO, Conan Mac, KVSH"
72928,"Gimme Gimme - KVSH, Lucas Borchardt, Samhara"
72929,"Guerra e Paz - Jota Quest, KVSH"
72934,"I Don't Know Why - KVSH, Mojjo"
72936,"Bola De Good - KVSH, Mandragora, Samantha Machado"
72937,"Jogo do Amor - Calé, KVSH"
72938,"Puro Êxtase - Groundbass, Zanon"
72942,Pieces - KVSH
72943,Tokyo Drift - KVSH
72944,"About you - jeebanoff"
72945,"Puro Êxtase - Breno Miranda, KVSH"
72946,"Pop Dat Hood - KVSH Remix - Earstrip, Hydro"
72947,Potter - KVSH
72948,"Poeta Vilão - Alex Romariz, Fabricio, KVSH, Zaca de Chagas"
72949,"Love Is The Highest Power - KVSH Remix - Clubbers, Joy Corporation"
72951,"Clever Words - KVSH Remix - Earstrip"
72952,Feel It - KVSH
72953,"Clash - Flame City, KVSH"
72954,IDFWY - KVSH
72956,Low Nigga - KVSH
72958,Sister - Kubi
72959,Dream - Kubi
72960,In My Back - Kubi
72961,"Voices - Kubi, WOAK"
72962,"Camisa - Kubi, Sam Shelby"
72963,Id Sax - Kubi
72964,"I House You - Kubi, Murotani"
72965,"Move - Kubi, Murotani"
72966,Work - Kubi
72967,"Damage - Kubi, Wina"
72968,"Get Down - Kubi, Victor Lou"
72969,"Boy - Kubi, Nēw Dance"
72970,"Pa Pa Pa - Kubi, Yamamoto"
72971,Brighter Days - Kubi
72972,Hash - Kubi
72973,"Over Bitch - Dash Groove, Kubi, Maaker"
72974,"Better Dirty - Kubi, Kuller"
72975,"Trombone - Kubi, RENNAN"
72976,"Sexytrack - Douth!, Kubi"
72978,"Mamita - Kubi, Vylow"
72979,Girls Bounce - Kubi
72980,"Turn Around - Dash Groove, Kubi"
72983,"India - Kubi, LÖST, RENNAN"
72984,"Tension - Kubi, Vokker"
72985,"Qr Code - Kubi, VINNE"
72987,Trumpet - Kubi
72988,Motherfucker - Kubi
72990,"Boom - HUBBA, Kubi"
72991,"Stranger Things - Captain Jack BR, Kubi"
72996,"Awakenings - Krash, Krash!, Kubi"
72997,Famous Girl - Kubi
73003,"Give You Up - Rivaz, Botteghi Remix - Tommy Vee"
73004,"Love Love Love - Rivaz, Botteghi Remix - Gary Caos, Gary Pine, Lopez"
73015,"Qué Chimba - Rivaz, Botteghi Remix - Maluma"
73028,"All I Need - Botteghi, Michael Schulte, Rivaz"
73046,Call Me - Luke DB
73048,"Taja - Luke DB, South Rocketz"
73049,Saturday - Luke DB
73052,"Strings Of Life - DJ TORA, Daishi Dance, Luke DB"
73053,Get Busy - Luke DB
73061,"King of the Jungle - Luke Db, Attilson Remix - SHANGUY"
73071,"Ponteme - Luke DB, Attilson Remix - Jenn Morel"
73086,"My Desire - Eddy J, Luke DB"
73114,Listen To Me - Chris River
